location,hour,dow,dow_name,count,exposure,risk_per_day,lat,lon,named
Adugodi,0,0,Mon,1,22,0.045454545454545456,12.936476,77.6063688,True
Adugodi,1,1,Tue,1,21,0.047619047619047616,12.936476,77.6063688,True
Adugodi,2,4,Fri,1,22,0.045454545454545456,12.936476,77.6063688,True
Adugodi,3,2,Wed,1,21,0.047619047619047616,12.936476,77.6063688,True
Adugodi,3,3,Thu,1,21,0.047619047619047616,12.936476,77.6063688,True
Adugodi,3,5,Sat,1,22,0.045454545454545456,12.936476,77.6063688,True
Adugodi,3,6,Sun,1,22,0.045454545454545456,12.936476,77.6063688,True
Adugodi,4,3,Thu,1,21,0.047619047619047616,12.936476,77.6063688,True
Adugodi,5,3,Thu,1,21,0.047619047619047616,12.936476,77.6063688,True
Adugodi,7,2,Wed,1,21,0.047619047619047616,12.936476,77.6063688,True
Adugodi,7,4,Fri,1,22,0.045454545454545456,12.936476,77.6063688,True
Adugodi,8,0,Mon,1,22,0.045454545454545456,12.936476,77.6063688,True
Adugodi,8,3,Thu,2,21,0.09523809523809523,12.936476,77.6063688,True
Adugodi,9,2,Wed,1,21,0.047619047619047616,12.936476,77.6063688,True
Adugodi,9,5,Sat,2,22,0.09090909090909091,12.936476,77.6063688,True
Adugodi,10,5,Sat,1,22,0.045454545454545456,12.936476,77.6063688,True
Adugodi,11,3,Thu,1,21,0.047619047619047616,12.936476,77.6063688,True
Adugodi,13,4,Fri,1,22,0.045454545454545456,12.936476,77.6063688,True
Adugodi,13,6,Sun,1,22,0.045454545454545456,12.936476,77.6063688,True
Agaram,0,4,Fri,1,22,0.045454545454545456,12.9621583,77.630028,True
Agaram,0,5,Sat,2,22,0.09090909090909091,12.9621583,77.630028,True
Agaram,1,3,Thu,1,21,0.047619047619047616,12.9621583,77.630028,True
Agaram,1,4,Fri,1,22,0.045454545454545456,12.9621583,77.630028,True
Agaram,1,5,Sat,2,22,0.09090909090909091,12.9621583,77.630028,True
Agaram,2,1,Tue,1,21,0.047619047619047616,12.9621583,77.630028,True
Agaram,4,1,Tue,1,21,0.047619047619047616,12.9621583,77.630028,True
Agaram,4,6,Sun,1,22,0.045454545454545456,12.9621583,77.630028,True
Agaram,5,1,Tue,1,21,0.047619047619047616,12.9621583,77.630028,True
Agaram,5,6,Sun,1,22,0.045454545454545456,12.9621583,77.630028,True
Agaram,6,3,Thu,1,21,0.047619047619047616,12.9621583,77.630028,True
Agaram,6,4,Fri,1,22,0.045454545454545456,12.9621583,77.630028,True
Agaram,6,6,Sun,3,22,0.13636363636363635,12.9621583,77.630028,True
Agaram,7,1,Tue,1,21,0.047619047619047616,12.9621583,77.630028,True
Agaram,7,4,Fri,1,22,0.045454545454545456,12.9621583,77.630028,True
Agaram,9,3,Thu,2,21,0.09523809523809523,12.9621583,77.630028,True
Agaram,11,2,Wed,1,21,0.047619047619047616,12.9621583,77.630028,True
Agaram,11,3,Thu,2,21,0.09523809523809523,12.9621583,77.630028,True
Agaram,12,3,Thu,5,21,0.23809523809523808,12.9621583,77.630028,True
Agaram,12,4,Fri,3,22,0.13636363636363635,12.9621583,77.630028,True
Agaram,12,5,Sat,1,22,0.045454545454545456,12.9621583,77.630028,True
Agaram,12,6,Sun,1,22,0.045454545454545456,12.9621583,77.630028,True
Agaram,13,4,Fri,1,22,0.045454545454545456,12.9621583,77.630028,True
Agaram,13,5,Sat,3,22,0.13636363636363635,12.9621583,77.630028,True
Agaram,14,4,Fri,1,22,0.045454545454545456,12.9621583,77.630028,True
Agaram,16,2,Wed,1,21,0.047619047619047616,12.9621583,77.630028,True
Agaram,23,0,Mon,1,22,0.045454545454545456,12.9621583,77.630028,True
Airport New South Road,0,0,Mon,1,22,0.045454545454545456,13.029057,77.6323212,True
Airport New South Road,0,1,Tue,3,21,0.14285714285714285,13.029057,77.6323212,True
Airport New South Road,0,2,Wed,1,21,0.047619047619047616,13.029057,77.6323212,True
Airport New South Road,0,4,Fri,1,22,0.045454545454545456,13.029057,77.6323212,True
Airport New South Road,0,5,Sat,2,22,0.09090909090909091,13.029057,77.6323212,True
